badge,clean address,clean up,conf dt,ent due,ent ovp,entity,fine,hold ct,iss dt,iss time,last seiz,lat,location,long,meter,multno,nix dt,seiz dt,seiz stat,termdt,ticket,viol
16,,meter,2015014,$0.00,$0.00,3287846,$25.00,0,2013100,1008,2014023,39.956364,CIVIC CENTER DR,-83.003136,SG127,0,0,2014024,,0,5561472876,29
20,,meter,2013156,$20.00,$0.00,3167190,$45.00,1,2013063,2110,0,39.975464,HIGH ST N,-83.003105,K518,0,0,0,,0,5561390092,72
19,,meter,2017249,$0.00,$0.00,3650211,$25.00,0,2013229,2152,0,39.973736,GOODALE ST W,-83.00629,K38,0,0,0,,0,5562074670,29
18,,meter,2017242,$0.00,$0.00,3271397,$25.00,0,2013276,1554,2016196,39.95664,CIVIC CENTER DR,-83.00324,SG121,0,0,2016196,,0,5562256703,29
16,,meter,0,$0.00,$0.00,3279922,$25.00,0,2013024,901,0,39.952576,LIVINGSTON AVE E,-82.99828,B29,0,0,0,,0,5561105542,29
13,,meter,0,$0.00,$0.00,2981050,$25.00,0,2013012,2049,0,39.986282,GREENWOOD LOT,-83.00556,F32,0,0,0,,0,5561186834,29
12,,meter,2017256,$0.00,$0.00,3296216,$25.00,0,2013309,1227,0,39.96333,YOUNG ST N,-82.99552,NP9,0,0,0,,0,5562332421,29
15,,meter,2016034,$0.00,$0.00,3322438,$25.00,0,2013217,1429,0,39.96004,STATE ST W,-83.00176,WK58,0,0,0,,0,5561971335,29
19,,meter,2014001,$60.00,$0.00,3131269,$25.00,0,2013346,2152,0,39.9765,HIGH ST N,-83.003296,K574,0,0,0,,0,5562577406,29
19,,meter,2013359,$0.00,$0.00,3175676,$45.00,0,2013338,2036,0,39.97502,PARK ST,-83.00464,K332,0,0,0,,0,5562519671,72
19,,meter,2017263,$0.00,$0.00,3095414,$25.00,0,2013249,2127,0,39.97827,HIGH ST N,-83.00389,K631,0,0,0,,0,5562117856,29
19,,meter,0,$0.00,$0.00,3282104,$50.00,0,2013033,1811,2013102,39.977406,HIGH ST N,-83.00369,K603,0,0,2013104,,0,5561296583,13
13,,meter,2016258,$150.00,$0.00,3236432,$25.00,0,2013351,1920,0,39.97322,PARK ST,-83.00465,NI667,0,0,0,,0,5562573490,29
17,,meter,2016069,$0.00,$0.00,3321096,$25.00,0,2013211,1918,2017290,39.97791,WARREN ST,-83.00334,K193,0,0,2017290,,0,5561995113,29
19,,meter,2017263,$0.00,$0.00,3308349,$25.00,0,2013329,1741,0,40.000774,16TH AVE E,-83.007744,UE377,0,0,0,,0,5562231282,29
1399,,meter,2013345,$0.00,$0.00,3155706,$50.00,0,2013305,123,0,39.97308,IFO 533 PARK ST,-83.004654,NI663,0,0,0,,0,5595287603,13
16,,meter,2014239,$180.00,$0.00,3347041,$25.00,0,2013311,1015,0,39.955296,PEARL ST S,-82.99834,SL556,0,2013351,0,,0,5562318653,29
2,,meter,0,$15.00,$0.00,3347105,$25.00,0,2013311,1415,0,39.958084,SOUDER AVE S,-83.02276,M133,0,0,0,,0,5562356431,29
2,,meter,2014120,$120.00,$0.00,3356956,$25.00,0,2013354,1021,0,39.95929,FRONT ST S,-83.00198,SI75,0,0,0,,0,5562450802,29
17,,meter,2013149,$160.00,$0.00,3303962,$45.00,0,2013127,1603,0,39.972446,SPRUCE ST,-83.00571,WBB159,0,0,0,,0,5561661622,72
18,,meter,2013361,$200.00,$0.00,3341855,$25.00,0,2013326,1659,0,39.9514,FRONT ST S,-83.00045,B521,0,2013323,0,,0,5562477262,29
17,,meter,2015126,$65.00,$0.00,3278400,$25.00,1,2013017,2148,0,39.952377,FRONT ST S,-83.00045,B504,0,0,0,,0,5561174116,29
10,,meter,2014189,$220.00,$0.00,3306001,$45.00,0,2013333,1214,0,39.994137,TENTH AVE W,-83.0072,UW50,0,0,0,,0,5562509425,72
7,,meter,0,$0.00,$0.00,3340589,$25.00,0,2013285,1328,0,39.95849,TOWN ST W,-83.00211,WI105,0,0,0,,0,5562275242,29
17,,meter,2017263,$0.00,$0.00,3308349,$25.00,0,2013149,1908,0,40.00309,EIGHTEENTH AVE E,-83.0081,UE461,0,0,0,,0,5561753381,29
19,,meter,2013114,$0.00,$0.00,3072471,$25.00,0,2013095,2001,2017312,39.976772,BUTTLES LOT,-83.003845,V21,0,0,2017312,,0,5561551405,29
18,,meter,2017298,$85.00,$0.00,3347999,$25.00,1,2013316,2033,2017032,39.952312,FRONT ST S,-83.00044,B506,0,0,2017032,,0,5562428306,29
19,,meter,2017284,$0.00,$0.00,2804009,$25.00,0,2013226,2132,2017308,39.950905,FRONT ST S,-83.00035,B555,0,2014149,2017308,,0,5561959730,29
9,,meter,2018094,$0.00,$0.00,3335988,$25.00,0,2013249,817,0,39.976147,PEARL ST N,-83.00258,K1159,0,0,0,,0,5562088084,29
9,,meter,2017319,$235.00,$0.00,3354034,$25.00,3,2013360,815,0,39.975132,PEARL STREET LOT,-83.00203,P8,0,0,0,,0,5562467661,29
20,,meter,2017270,$0.00,$0.00,3352280,$25.00,0,2013333,1705,2014101,39.972805,SWAN ST W,-83.00424,WCC57,0,0,2014105,,0,5562495591,29
7,,meter,2013142,$80.00,$0.00,3303074,$45.00,0,2013123,1120,0,39.95929,TOWN ST E,-82.9966,EI122,0,0,0,,0,5561641042,72
17,,meter,2017284,$90.00,$0.00,3283583,$45.00,1,2013108,1811,0,39.979073,HUBBARD AVE E,-83.00269,K255,0,2018061,0,,0,5561570165,72
19,,meter,2016188,$0.00,$0.00,3351224,$45.00,0,2013326,2154,0,39.97437,POPLAR AVE W,-83.004326,K167,0,0,0,,0,5562231050,72
15,,meter,2017270,$0.00,$0.00,3308278,$25.00,0,2013148,1113,0,39.96371,GAY ST E,-82.99938,EP41,0,0,0,,0,5561671691,29
14,,meter,2013205,$0.00,$0.00,3130251,$25.00,0,2013137,1247,2017261,39.96045,STATE ST E,-82.99695,EK109,0,2012082,2017261,,0,5561646115,29
19,,meter,2018003,$0.00,$0.00,3292392,$25.00,0,2013078,1800,0,40.003082,EIGHTEENTH AVE E,-83.00797,UE467,0,0,0,,0,5561486493,29
16,,meter,2015084,$60.00,$0.00,3335576,$25.00,0,2013266,1440,0,39.954807,MOUND ST E,-82.99843,EC13,0,2015071,0,,0,5562157594,29
9,,meter,0,$0.00,$0.00,3347156,$25.00,0,2013311,1349,0,39.963745,GAY ST E,-83.00037,EP10,0,0,0,,0,5562368040,29
6,,meter,2014189,$220.00,$0.00,3306001,$25.00,0,2013136,1151,0,39.99495,HIGH ST N,-83.007195,UW611,0,0,0,,0,5561650120,29
8,,meter,2017270,$210.00,$0.00,3097892,$25.00,3,2013317,1223,0,39.955696,FRONT ST S,-83.0013,SI503,0,0,0,,0,5562396106,29
7,,meter,2017263,$0.00,$0.00,3329706,$45.00,0,2013296,1116,0,39.972248,SPRUCE ST,-83.003815,WBB59,0,0,0,,0,5562313613,72
5,,meter,2013361,$200.00,$0.00,3341855,$45.00,0,2013339,2034,0,39.97877,KERR ST,-83.00187,K281,0,2013323,0,,0,5562488333,72
7,,meter,2014029,$0.00,$0.00,3194883,$25.00,0,2013102,1242,2017323,39.978752,HUBBARD AVE W,-83.00455,K236,0,0,2017320,,0,5561522171,29
10,,meter,0,$0.00,$0.00,3313367,$20.00,0,2013173,1435,2017293,39.98581,4TH AVE E,-83.00471,K957,0,0,2017293,,0,5561843062,20
19,,meter,2014273,$80.00,$0.00,3301824,$45.00,0,2013117,2020,0,39.97446,POPLAR AVE W,-83.00349,K153,0,0,0,,0,5561654880,72
13,,meter,2017326,$0.00,$0.00,3281662,$25.00,0,2013032,1756,0,39.976624,BUTTLES LOT,-83.00368,V3,0,2014084,0,,0,5561269736,29
16,,meter,2013219,$0.00,$0.00,3207670,$45.00,0,2013197,1248,2012109,39.961006,STATE ST E,-82.993385,EK304,0,0,2012110,,0,5561867503,72
19,,meter,2017221,$0.00,$0.00,3194097,$25.00,0,2013354,1557,0,39.995235,ELEVENTH AVE W,-83.00752,UW97,0,0,0,,0,5562601604,29
16,,meter,2015042,$65.00,$0.00,3320818,$25.00,1,2013210,1342,0,39.963703,GAY ST E,-82.99947,EP37,0,0,0,,0,5561938133,29
17,,meter,2017256,$450.00,$0.00,3276598,$25.00,5,2013010,1952,0,39.978996,KERR ST,-83.00192,K287,0,0,0,,0,5561131560,29
9,,meter,2017235,$0.00,$0.00,3114913,$25.00,0,2013248,1330,0,39.976593,BUTTLES LOT,-83.004005,V13,0,0,0,,0,5562023975,29
16,,meter,2017207,$400.00,$0.00,3299643,$25.00,4,2013108,1319,0,39.97073,GRANT AVE N,-82.99202,NT607,0,0,0,,0,5561474431,29
9,,meter,2017242,$0.00,$0.00,3271397,$25.00,0,2013023,1306,2016196,39.95804,WALNUT ST,-83.000435,WH5,0,0,2016196,,0,5561115574,29
