active,areaname,configid,lat,long,meter number,subareaname,zonename
1,Discovery District,980,39.96676,-82.98616,ER622,LONG ST E,E3 Downtown
1,POPLAR AVE,44647,39.974447,-83.003613,K155,31064,E2 Short North
1,SECOND AVE,44028,39.981844,-83.005134,K784,31084,E2 Short North
1,SECOND AVE,44647,39.981728,-83.004858,K781,31084,E2 Short North
1,SECOND AVE,44647,39.981734,-83.005098,K783,31084,E2 Short North
1,SECOND AVE,44028,39.981828,-83.004801,K780,31084,E2 Short North
1,STARR AVE,44647,39.982991,-83.005365,K246,31071,E2 Short North
1,STARR AVE,44647,39.982983,-83.005189,K240,31071,E2 Short North
1,STARR AVE,44647,39.982988,-83.005309,K244,31071,E2 Short North
1,STARR AVE,44647,39.982985,-83.005253,K242,31071,E2 Short North
0,THIRD AVE,44028,39.984071,-83.005721,K270,31072,E2 Short North
0,THIRD AVE,44028,39.984065,-83.005593,K266,31072,E2 Short North
1,SECOND AVE,44046,39.982583,-83.004137,K295,31070,E2 Short North
1,SECOND AVE,44046,39.98258,-83.00405,K297,31070,E2 Short North
1,SECOND AVE,44046,39.982586,-83.004269,K291,31070,E2 Short North
1,SECOND AVE,44046,39.982584,-83.00421,K293,31070,E2 Short North
1,SECOND AVE,44028,39.98183,-83.004873,K782,31084,E2 Short North
1,RUSSELL ST E,44647,39.975672,-83.002705,K112,31067,E2 Short North
1,RUSSELL ST E,44647,39.975648,-83.002613,K106,31067,E2 Short North
1,RUSSELL ST E,44647,39.97568,-83.002624,K114,31067,E2 Short North
1,RUSSELL ST E,44647,39.975579,-83.002772,K173,31068,E2 Short North
1,RUSSELL ST E,44647,39.975587,-83.002693,K175,31068,E2 Short North
1,Convention Center,979,39.971855,-83.002376,NK602,HIGH ST N,E3 Downtown
1,Convention Center,979,39.971453,-83.002298,NK574,HIGH ST N,E3 Downtown
1,Convention Center,979,39.969564,-83.002216,NK513,HIGH ST N,E3 Downtown
1,Convention Center,979,39.97192,-83.002388,NK604,HIGH ST N,E3 Downtown
1,Convention Center,979,39.971789,-83.002364,NK600,HIGH ST N,E3 Downtown
1,Downtown Business District,979,39.966062,-83.003886,WT112,SPRING ST W,E3 Downtown
1,Discovery District,980,39.965053,-82.993729,NR115,NORMANDY AVE,E3 Downtown
1,Downtown Business District,979,39.96607,-83.003817,WT110,SPRING ST W,E3 Downtown
1,Downtown Business District,1675,39.960508,-82.996465,EK153,STATE ST E,E3 Downtown
1,Downtown Business District,979,39.960321,-82.998132,EK37,STATE ST E,E3 Downtown
1,Downtown Business District,979,39.960458,-82.996875,EK111,STATE ST E,E3 Downtown
1,Downtown Business District,979,39.960255,-82.998688,EK25,STATE ST E,E3 Downtown
1,Downtown Business District,979,39.960266,-82.998581,EK27,STATE ST E,E3 Downtown
1,Downtown Business District,979,39.966156,-83.00181,WT3,SPRING ST W,E3 Downtown
1,Downtown Business District,979,39.966166,-83.001726,WT1,SPRING ST W,E3 Downtown
1,Downtown Business District,979,39.966122,-83.002125,WT11,SPRING ST W,E3 Downtown
1,Downtown Business District,979,39.966087,-83.003667,WT106,SPRING ST W,E3 Downtown
1,Downtown Business District,5743,39.96064,-82.996601,EK150,STATE ST E,E3 Downtown
1,Downtown Business District,979,39.960061,-83.001591,WK54,STATE ST W,E3 Downtown
1,Downtown Business District,979,39.96004,-83.00057,WK3,STATE ST W,E3 Downtown
